Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
9/27/2016,MountGambier,4.9,16.3,5.4,NA,NA,WNW,44,WNW,WNW,20,24,64,57,1013.1,1011.8,3,8,12,14.6,Yes,No
9/28/2016,MountGambier,6.5,18.1,0.6,NA,NA,NA,NA,NNE,NNE,31,41,67,50,1007.1,995.7,NA,7,13.5,16.1,No,NA
9/29/2016,MountGambier,7.2,13.2,NA,NA,NA,NW,52,NNE,ESE,31,11,71,74,985.1,984.9,8,7,10.7,12,NA,Yes
9/30/2016,MountGambier,6.4,16,8.4,NA,NA,WSW,50,NNE,W,24,30,95,74,992.9,996.4,8,8,9.7,14.1,Yes,Yes
10/1/2016,MountGambier,9.5,15.4,3.6,NA,NA,W,48,NW,NNW,19,26,91,59,1005.3,1004.5,8,8,10.4,13,Yes,No
10/2/2016,MountGambier,9.6,19.6,0,NA,NA,N,48,NNE,W,20,31,56,78,995.6,993.9,7,8,14.8,15.5,No,Yes
10/3/2016,MountGambier,6.9,13.5,8.6,NA,NA,W,70,NNW,WNW,22,35,82,85,992.8,995.7,1,8,10.4,12.3,Yes,Yes
10/4/2016,MountGambier,8.3,13.9,11,NA,NA,WNW,93,W,W,43,56,69,57,999.1,1005.1,8,8,12.6,13.1,Yes,Yes
10/5/2016,MountGambier,8.5,15.6,4.4,NA,NA,NW,69,NW,WNW,37,43,72,72,1012.5,1013.8,6,8,13.3,14.9,Yes,No
10/6/2016,MountGambier,9,26,0.2,NA,NA,NNW,54,NNW,NNW,24,28,71,33,1014.8,1012,NA,NA,15,24.7,No,No
10/7/2016,MountGambier,12.7,17.5,0,NA,NA,NW,41,W,SW,22,22,81,72,1013.4,1015.2,1,8,15.2,15.8,No,No
10/8/2016,MountGambier,2.4,18.4,0,NA,NA,NNE,35,E,ENE,9,17,70,45,1022.8,1019.1,1,NA,12,17,No,No
10/9/2016,MountGambier,11.5,19.6,0.6,NA,NA,NW,76,NE,NNW,44,35,55,100,1000.3,1000.6,7,7,16.2,16.2,No,Yes
10/10/2016,MountGambier,9,13.8,4.6,NA,NA,NA,NA,W,W,33,46,99,50,1009.5,1011,5,4,11.5,12.5,Yes,Yes
10/11/2016,MountGambier,5.9,13.7,2.8,NA,NA,W,50,SW,WSW,31,20,68,76,1018.9,1019.3,8,7,10.7,11.7,Yes,Yes
10/12/2016,MountGambier,8,15.4,1.2,NA,NA,SW,46,WSW,SSW,28,31,89,66,1019.4,1020.7,5,8,11.5,14.5,Yes,Yes
10/13/2016,MountGambier,4.5,16.3,1.4,NA,NA,NE,26,ESE,NE,7,13,65,50,1027.5,1025.3,8,NA,10.7,15.1,Yes,No
10/14/2016,MountGambier,1.8,21.3,0,NA,NA,NNW,46,N,N,15,28,67,36,1023.1,1018.6,NA,NA,12.6,20.5,No,No
10/15/2016,MountGambier,12,23.7,0,NA,NA,N,57,N,N,22,28,42,31,1011.4,1006.2,8,8,15.5,22.2,No,No
10/16/2016,MountGambier,13.2,13.9,0.8,NA,NA,NNW,46,NNW,W,24,24,88,80,999.7,1001.7,8,8,13.2,13.2,No,Yes
10/17/2016,MountGambier,5.7,14,5.2,NA,NA,NW,56,NW,NW,20,26,75,84,1008.7,1007.6,8,8,11.3,12.3,Yes,Yes
10/18/2016,MountGambier,6.4,14.2,8.8,NA,NA,NA,NA,NW,W,19,39,77,55,1009.5,1011.6,2,4,11.6,13,Yes,Yes
10/19/2016,MountGambier,3.1,16.2,1.6,NA,NA,NNW,35,NNW,NW,13,22,77,48,1020.3,1019.1,NA,8,10.7,15.9,Yes,No
10/20/2016,MountGambier,4.3,24.3,0,NA,NA,N,85,N,N,28,31,45,33,1013.2,1008.1,NA,4,13.6,23.1,No,Yes
10/21/2016,MountGambier,9.2,14.3,4.4,NA,NA,WNW,57,W,SW,15,31,88,54,1012.9,1014.8,8,8,9.3,12.3,Yes,Yes
10/22/2016,MountGambier,3.9,14.3,1.2,NA,NA,SSE,54,SSW,S,28,24,59,55,1024.4,1026.2,2,7,10.3,11.3,Yes,No
10/23/2016,MountGambier,3.2,13.2,0.6,NA,NA,SSE,31,SSW,SSW,9,19,71,54,1028.8,1027.5,7,7,10.5,12.5,No,No
10/24/2016,MountGambier,1.2,19,0,NA,NA,WNW,39,NNE,NNW,19,26,61,45,1022.9,1017.5,NA,NA,10.7,17.9,No,No
10/25/2016,MountGambier,8.4,23.2,0,NA,NA,WNW,67,N,NW,30,22,35,56,1007.9,1007.9,NA,8,18.3,19.1,No,Yes
10/26/2016,MountGambier,10.1,16.4,2.4,NA,NA,NA,NA,WSW,W,17,22,83,51,1012.9,1015.1,7,4,11.8,15.8,Yes,No
10/27/2016,MountGambier,3,17,0.6,NA,NA,NA,NA,SSE,S,15,20,62,55,1022.9,1020.9,1,1,12.8,15.8,No,No
10/28/2016,MountGambier,1.1,18.1,0,NA,NA,SSW,31,NW,SSW,6,15,80,58,1020.3,1018.3,4,2,10.9,17.5,No,No
10/29/2016,MountGambier,3.8,24.4,0,NA,NA,NNE,37,NNE,NNE,13,19,79,37,1016.3,1008.8,NA,NA,13.8,23.5,No,No
10/30/2016,MountGambier,13.8,17.8,0,NA,NA,W,89,NW,WNW,35,52,69,57,1000.3,1003.6,8,NA,15.4,12.3,No,Yes
10/31/2016,MountGambier,5.2,15.6,7,NA,NA,W,56,W,WNW,28,35,80,53,1013.3,1013.1,6,8,11.6,14.5,Yes,Yes
11/1/2016,MountGambier,7.3,15.8,2.6,NA,NA,W,54,W,W,26,33,88,62,1011.7,1012.1,5,8,12.3,13.9,Yes,No
11/2/2016,MountGambier,9.3,14.5,0,NA,NA,W,48,NW,W,15,28,86,73,1017.2,1017.1,8,8,11.4,14,No,No
11/3/2016,MountGambier,10.1,18.7,0,NA,NA,WNW,39,NNW,WNW,15,24,80,60,1019.1,1017.7,8,5,12.9,18,No,No
11/4/2016,MountGambier,5.1,22.5,0,NA,NA,WNW,72,NNW,WNW,30,39,75,69,1009.9,1007.9,1,8,15.4,17.1,No,Yes
11/5/2016,MountGambier,7.9,15.5,1.4,NA,NA,WSW,70,SW,W,31,31,67,64,1015.4,1015.4,8,8,13.2,14.2,Yes,No
11/6/2016,MountGambier,11.5,18.2,0,NA,NA,W,44,W,NW,20,26,81,77,1013.9,1010.6,8,8,13.4,16.6,No,No
11/7/2016,MountGambier,8.6,14.7,0.2,NA,NA,WSW,37,WSW,SW,17,20,83,90,1003.3,1005.1,8,8,12.8,13.2,No,Yes
11/8/2016,MountGambier,3,16,2.8,NA,NA,WSW,31,SW,SW,17,20,73,63,1012.2,1012.3,8,7,12.3,15.5,Yes,No
11/9/2016,MountGambier,2.1,17.8,0,NA,NA,S,31,SSE,SSW,4,15,92,67,1014.8,1012.6,5,7,11.8,16.3,No,No
11/10/2016,MountGambier,5.6,18.6,0,NA,NA,SSE,35,SE,S,9,20,75,69,1013.7,1012.2,8,8,13.5,17.7,No,No
11/11/2016,MountGambier,4.4,24.7,0,NA,NA,ESE,39,E,E,24,26,75,54,1010.9,1003.6,NA,7,14.3,23.8,No,Yes
11/12/2016,MountGambier,11.2,17.4,1.4,NA,NA,NW,65,NNW,NW,28,41,87,100,995.5,995.2,8,8,15.6,12.6,Yes,Yes
11/13/2016,MountGambier,10.5,14.6,32.8,NA,NA,WSW,72,SW,SW,41,41,NA,95,997.7,1003.1,7,8,11.9,13.8,Yes,Yes
11/14/2016,MountGambier,9.9,16,5.6,NA,NA,SSW,41,SW,SW,24,20,96,76,1015.7,1017.5,7,8,12.7,14.5,Yes,No
11/15/2016,MountGambier,9.5,16.3,0.2,NA,NA,W,35,WSW,WSW,19,20,90,73,1021.8,1021.4,8,8,12.9,15.2,No,No
11/16/2016,MountGambier,8.7,23.8,0.2,NA,NA,NE,26,E,NE,11,7,97,67,1024.2,1020.8,8,NA,12.8,21.7,No,No
11/17/2016,MountGambier,12.4,31,0,NA,NA,NNW,67,N,NNW,30,39,51,28,1014.3,1011.4,NA,2,23.5,30.2,No,No
11/18/2016,MountGambier,11.9,18.3,0,NA,NA,SW,35,SW,SSW,19,20,87,60,1018.4,1018.2,8,NA,13.6,17.2,No,No
11/19/2016,MountGambier,4.6,22.1,0,NA,NA,S,33,ESE,S,11,19,80,68,1020.6,1018.6,2,NA,14.7,21.1,No,No
11/20/2016,MountGambier,8.9,29.9,0,NA,NA,N,26,NE,NW,9,9,87,55,1015.6,1011.6,2,7,19.3,28,No,No
11/21/2016,MountGambier,19.2,29.5,0,NA,NA,W,54,N,WSW,28,7,55,52,1004.7,1006,2,1,26.2,26.5,No,Yes
11/22/2016,MountGambier,8.8,19.1,1.6,NA,NA,WSW,35,SSW,SW,13,22,75,57,1016.9,1015.8,NA,7,14.7,17.3,Yes,No
11/23/2016,MountGambier,7.4,17.4,0.4,NA,NA,SSW,44,SW,SSW,24,28,77,58,1019.7,1020.6,8,6,12.6,14.9,No,No
11/24/2016,MountGambier,4.6,17.1,0.2,NA,NA,SW,39,SW,WSW,11,24,63,57,1021.9,1019.9,7,8,13.4,15.3,No,No
11/25/2016,MountGambier,8.4,16.8,0,NA,NA,SSW,37,SW,SW,26,24,74,72,1021.5,1022.2,8,8,13.4,15,No,No
11/26/2016,MountGambier,8.5,17.7,0.2,NA,NA,SSW,35,SW,SW,24,28,77,77,1024,1022.8,8,8,12.8,15,No,No
11/27/2016,MountGambier,10.5,19.2,0,NA,NA,SW,31,SW,SSW,9,13,73,58,1021.6,1018.6,7,NA,13,18.3,No,No
11/28/2016,MountGambier,2,22,0,NA,NA,SSW,31,E,SSW,11,20,76,60,1016.4,1014.6,4,NA,13.8,19.6,No,No
11/29/2016,MountGambier,6,20.9,0,NA,NA,SSW,44,SE,SSW,17,26,74,63,1013.5,1011.9,1,NA,15.9,19.2,No,No
11/30/2016,MountGambier,9,20.3,0,NA,NA,S,39,SSE,SSE,19,24,78,68,1011.7,1010.6,8,8,14.5,17.8,No,No
12/1/2016,MountGambier,3.7,22.9,0,NA,NA,W,43,ESE,N,7,9,78,54,1009.8,1006.4,8,4,15.2,22.7,No,No
12/2/2016,MountGambier,8.3,19.7,0,NA,NA,SW,39,WSW,S,20,15,63,46,1013.1,1014.2,8,NA,15.1,18.6,No,No
12/3/2016,MountGambier,2.5,24.1,0,NA,NA,S,35,ESE,N,15,13,64,30,1016.1,1013.2,NA,NA,15.5,23.2,No,No
12/4/2016,MountGambier,7.2,29.4,0,NA,NA,NNW,76,NNE,N,15,28,65,98,1007.2,1005.3,NA,8,20.3,20,No,Yes
12/5/2016,MountGambier,11.7,19.7,2,NA,NA,SW,41,SW,S,31,20,79,53,1013.1,1013.1,8,5,14.5,18.7,Yes,No
12/6/2016,MountGambier,6.1,20.9,0,NA,NA,WSW,37,WSW,SSW,9,20,64,50,1015.8,1014.5,8,5,15,19,No,No
12/7/2016,MountGambier,6.5,27.9,0,NA,NA,N,46,N,NNW,13,20,78,32,1014.5,1009,NA,NA,16.5,25.2,No,Yes
12/8/2016,MountGambier,12.7,16.9,5.6,NA,NA,W,78,WNW,WSW,44,43,71,73,999.4,1003.9,8,8,15.1,15.1,Yes,Yes
12/9/2016,MountGambier,9.1,16.3,2.2,NA,NA,SW,41,SW,SW,24,20,63,62,1019.9,1021.7,8,8,12.9,15,Yes,No
12/10/2016,MountGambier,8.7,16,0.2,NA,NA,W,28,W,SW,11,13,80,72,1024.9,1024,8,8,13.3,15.7,No,No
12/11/2016,MountGambier,2.8,21.9,0,NA,NA,S,35,SE,E,9,19,89,54,1025.1,1021.7,8,NA,14.2,20.6,No,No
12/12/2016,MountGambier,7.1,34.8,0,NA,NA,N,54,NNE,NW,22,31,63,20,1016.6,1013.3,NA,NA,20.5,34,No,No
12/13/2016,MountGambier,16.5,28.5,0,NA,NA,NW,61,N,NW,24,35,36,37,1005,1004.4,8,8,24.1,27.5,No,No
12/14/2016,MountGambier,12.3,19.5,0,NA,NA,SSW,46,SSW,S,28,30,65,46,1014.5,1016.3,8,6,15.5,17.8,No,No
12/15/2016,MountGambier,4.9,21,0,NA,NA,SSE,48,SE,SSE,24,24,59,55,1020.6,1017.1,7,NA,14.8,19.3,No,No
12/16/2016,MountGambier,5.1,25.9,0,NA,NA,W,37,NNE,WSW,11,26,76,36,1011.1,1007,NA,NA,15.1,24.2,No,No
12/17/2016,MountGambier,10.3,17.9,0.8,NA,NA,WSW,56,SW,SW,35,33,69,42,1012.3,1016.6,8,1,13.4,16.2,No,No
12/18/2016,MountGambier,4.5,22,0.2,NA,NA,S,35,SSE,S,11,22,58,44,1023.7,1020.5,3,NA,13.6,20.5,No,No
12/19/2016,MountGambier,8.5,29.2,0,NA,NA,N,59,N,W,28,20,34,69,1010.1,1009,NA,7,21.5,17.8,No,Yes
12/20/2016,MountGambier,9,21.2,1.4,NA,NA,WNW,52,W,W,30,35,75,78,1010.4,1011.1,8,8,15.6,16.2,Yes,No
12/21/2016,MountGambier,11,NA,0.2,NA,NA,NA,NA,WSW,SSW,26,22,71,56,1018.4,1019.4,8,6,14.9,19.7,No,NA
12/22/2016,MountGambier,12.1,27.6,NA,NA,NA,SSE,33,ESE,S,13,22,70,49,1020.4,1016.1,NA,NA,17.3,26.8,NA,No
12/23/2016,MountGambier,10.4,34.5,0,NA,NA,SSE,37,NE,NNW,17,11,57,23,1012.3,1009.1,NA,1,22.3,32.4,No,No
12/24/2016,MountGambier,14,28.4,0,NA,NA,SSW,31,SW,SSW,17,19,84,45,1012.2,1012.2,NA,NA,18.6,27,No,No
12/25/2016,MountGambier,13.8,36.2,0,NA,NA,W,41,E,SW,13,26,86,44,1011.2,1007.4,1,NA,19.6,32.7,No,No
12/26/2016,MountGambier,14.3,28,0,NA,NA,SSE,35,ENE,ESE,9,13,99,66,1009.7,1009,1,8,18,25.1,No,No
12/27/2016,MountGambier,14.5,23.8,0.2,NA,NA,ESE,35,E,E,13,20,98,NA,1009,1005.1,8,8,18.6,22.3,No,Yes
12/28/2016,MountGambier,18.5,28.9,33.6,NA,NA,NNW,81,NNE,NW,43,43,NA,96,991.2,998.1,8,8,22.6,26.7,Yes,Yes
12/29/2016,MountGambier,16.3,30.1,8.8,NA,NA,NW,48,NNE,NNW,13,22,92,45,1003.2,1001.3,8,NA,19.3,28.5,Yes,No
12/30/2016,MountGambier,14.8,22,0,NA,NA,W,54,WNW,W,30,31,79,69,1001.7,1002.9,7,8,19.2,20.3,No,No
12/31/2016,MountGambier,13.4,20.7,0.6,NA,NA,WNW,31,W,WNW,13,17,NA,80,1007,1006.7,NA,8,15.6,19.6,No,Yes
1/1/2017,MountGambier,13.7,20.2,1.2,NA,NA,SW,41,WSW,SW,17,28,100,81,1008.8,1011,8,8,15.3,18,Yes,No
1/2/2017,MountGambier,12,20.8,1,NA,NA,S,39,SSW,SSE,24,30,100,69,1019.8,1020.3,8,8,16.2,18.4,No,No
1/3/2017,MountGambier,12.7,23.3,0,NA,NA,S,48,SE,S,28,30,68,60,1022.3,1019.3,1,NA,17.1,22.5,No,No
1/4/2017,MountGambier,10.2,28.2,0,NA,NA,S,39,SE,S,19,22,80,58,1018.6,1015.7,1,NA,18.4,26.4,No,No
1/5/2017,MountGambier,14.4,30,0,NA,NA,S,39,SSE,SSW,19,28,NA,72,1016.1,1012.7,8,NA,17.4,28.7,No,No
1/6/2017,MountGambier,16.3,38.2,0,NA,NA,NW,35,NE,N,19,13,69,36,1013.2,1010.6,NA,NA,25.7,37.3,No,No
1/7/2017,MountGambier,22.8,39,0,NA,NA,NNE,48,NNE,N,24,24,40,24,1009.1,1004,NA,1,31.3,37.7,No,No
1/8/2017,MountGambier,16.5,23.9,0,NA,NA,W,39,W,WNW,17,26,80,65,1008.4,1009.8,8,1,19.4,22.3,No,No
1/9/2017,MountGambier,11.9,26.1,0,NA,NA,SW,35,E,SSW,9,22,80,56,1013.2,1011.5,8,NA,17.3,24.9,No,No
1/10/2017,MountGambier,11.6,24.6,0,NA,NA,W,39,SW,WSW,11,24,73,57,1012.9,1011,3,NA,17.6,22.8,No,No
1/11/2017,MountGambier,13.1,23.2,0,NA,NA,W,56,WSW,WSW,22,28,84,59,1012.8,1013,8,3,17.4,21,No,No
1/12/2017,MountGambier,7.5,32.7,0,NA,NA,N,33,ENE,N,11,11,78,32,1012.8,1007.4,NA,NA,17.6,29.2,No,Yes
1/13/2017,MountGambier,17.2,21.6,12,NA,NA,WNW,61,NNW,W,20,41,NA,76,997.1,1001.4,8,4,20.3,20.8,Yes,Yes
1/14/2017,MountGambier,14.5,20.4,7.4,NA,NA,W,61,WSW,WSW,37,28,92,82,1010.9,1014.7,8,8,15.8,18.8,Yes,No
1/15/2017,MountGambier,12.4,22,0,NA,NA,SW,33,W,SW,13,17,81,62,1020.1,1018.5,8,4,15.8,20.7,No,No
1/16/2017,MountGambier,8.9,32.8,0,NA,NA,W,50,NE,NNW,9,20,91,43,1014.8,1010.5,NA,NA,16.8,31.2,No,No
1/17/2017,MountGambier,15,29,0,NA,NA,SSW,37,WNW,SSW,13,22,72,NA,1008.8,1006.6,8,8,21.5,26.5,No,No
1/18/2017,MountGambier,13.4,22,0,NA,NA,SSE,46,SSE,S,24,26,NA,NA,1016.1,1016.5,NA,2,18.5,19.9,No,No
1/19/2017,MountGambier,7.3,NA,0,NA,NA,NA,NA,ESE,ENE,26,13,NA,25,1013.4,1007.2,1,8,15.3,24.6,No,Yes
1/20/2017,MountGambier,13.2,20.7,29.4,NA,NA,SSW,54,SSW,SSW,28,33,88,55,1002.8,1007.3,8,5,14.1,18.1,Yes,No
1/21/2017,MountGambier,8.6,23.9,0,NA,NA,S,39,WNW,S,11,19,73,54,1015.9,1015.2,NA,NA,16.8,22.5,No,No
1/22/2017,MountGambier,11.1,31.2,0,NA,NA,NW,39,NE,SSE,13,15,62,38,1013.9,1010.9,NA,NA,19.9,30.3,No,No
1/23/2017,MountGambier,18.3,29.8,0,NA,NA,W,48,N,WSW,9,13,47,72,1004.5,1004.7,5,8,26.1,21.8,No,Yes
1/24/2017,MountGambier,14.4,21.4,1.6,NA,NA,WNW,48,WSW,SW,26,24,57,44,1015.3,1018.4,7,1,17.3,19.9,Yes,No
1/25/2017,MountGambier,6.6,22.6,0,NA,NA,S,37,S,SW,11,20,67,46,1021.9,1019.9,NA,5,16.2,22.4,No,No
1/26/2017,MountGambier,11.3,21.9,0,NA,NA,SW,31,SW,SSW,17,17,70,57,1020.8,1019.6,8,6,16.9,20.8,No,No
1/27/2017,MountGambier,14.9,26.7,0,NA,NA,S,28,SE,S,9,13,73,46,1017.7,1014.3,8,NA,17.1,25.6,No,No
1/28/2017,MountGambier,9,25.8,0,NA,NA,SSW,33,SSW,SSW,15,15,85,49,1015.3,1015.4,5,NA,16.7,24.5,No,No
1/29/2017,MountGambier,10.3,30.9,0,NA,NA,SW,30,E,NNW,15,7,74,30,1017.1,1013.1,NA,NA,18.9,29.2,No,No
1/30/2017,MountGambier,17,25,0,NA,NA,WNW,52,NW,WSW,19,22,69,84,1006,1008.1,7,8,21.9,19.6,No,Yes
1/31/2017,MountGambier,11.7,22.4,1.2,NA,NA,WSW,41,SW,SW,19,24,59,45,1015.4,1015.9,1,8,17.7,20.4,Yes,No
2/1/2017,MountGambier,6.5,22,0,NA,NA,W,37,N,W,9,19,77,42,1016.8,1014.6,NA,4,14.2,21.1,No,No
2/2/2017,MountGambier,10.8,23.2,0.2,NA,NA,NA,NA,SW,WSW,19,24,73,42,1017.7,1016.5,NA,4,18.1,21.6,No,No
2/3/2017,MountGambier,9.6,25.6,0,NA,NA,WNW,39,NNW,WSW,13,17,75,42,1016,1013.5,NA,NA,17.8,25.1,No,No
2/4/2017,MountGambier,7.5,29.9,0,NA,NA,S,33,SSW,SW,2,17,80,44,1011.1,1007.7,NA,NA,17.2,27.7,No,No
2/5/2017,MountGambier,15,26.2,0.2,NA,NA,SSE,39,N,W,13,20,88,95,1006.9,1006,8,8,19.7,20.2,No,Yes
2/6/2017,MountGambier,13.2,21.4,16,NA,NA,S,46,SSE,SSE,19,26,78,56,1016.6,1017.2,7,7,14.9,19.5,Yes,No
2/7/2017,MountGambier,8.9,27.1,0.2,NA,NA,E,46,ESE,E,28,22,62,35,1021.9,1017.9,NA,NA,15.5,25.7,No,No
2/8/2017,MountGambier,14.1,38.9,0,NA,NA,N,52,NNE,N,28,30,68,30,1014.4,1009.4,NA,NA,22.3,37.2,No,No
2/9/2017,MountGambier,19.4,27.6,0,NA,NA,S,46,SSE,SSE,24,28,74,55,1010,1010,NA,NA,22.8,26.3,No,No
2/10/2017,MountGambier,16.2,28.8,0,NA,NA,SSW,30,SE,S,11,19,86,55,1011.8,1009.9,8,NA,18.1,27.6,No,No
2/11/2017,MountGambier,15.2,24.3,0,NA,NA,SW,39,SSE,SW,9,19,70,58,1010.8,1010.1,8,8,18.2,20.9,No,Yes
2/12/2017,MountGambier,13.1,18.2,2.8,NA,NA,SW,56,SW,WSW,30,35,66,44,1012.5,1013.4,8,7,14.6,17.2,Yes,No
2/13/2017,MountGambier,12.9,19.8,0.2,NA,NA,SW,43,SW,SW,22,30,82,65,1016,1016.5,8,8,14.7,18.9,No,No
2/14/2017,MountGambier,13.1,24.9,0.8,NA,NA,W,31,NA,E,0,6,86,38,1020.8,1018,8,NA,15.4,23.4,No,No
2/15/2017,MountGambier,12,30.2,0.2,NA,NA,WNW,59,N,W,22,33,45,46,1009.7,1007.6,1,1,20.4,25.1,No,No
2/16/2017,MountGambier,8.6,22.3,0,NA,NA,W,35,E,WSW,7,20,64,45,1012.2,1010.5,7,7,15.5,21.2,No,NA
2/17/2017,MountGambier,10.2,21.4,NA,NA,NA,NA,NA,NW,W,13,39,82,65,1010.6,1010.1,8,8,14.8,18.9,NA,Yes
2/18/2017,MountGambier,7.1,18.3,1.8,NA,NA,WSW,57,NW,SW,15,28,81,50,1012.9,1013.4,2,8,13.1,16,Yes,Yes
2/19/2017,MountGambier,8.9,18.4,5.4,NA,NA,SW,57,W,SW,22,37,88,53,1012.4,1012.1,8,7,12.9,16.1,Yes,Yes
2/20/2017,MountGambier,7.2,20,2.4,NA,NA,SW,41,SW,SW,13,24,69,50,1017,1017,7,8,14.2,17.6,Yes,No
2/21/2017,MountGambier,4,26.4,0.2,NA,NA,N,30,NE,NNE,13,17,81,28,1021.3,1017.1,NA,NA,13.4,24.5,No,No
2/22/2017,MountGambier,13,34.1,0,NA,NA,NNW,80,NNE,W,28,39,32,40,1009.4,1006.4,NA,1,21.3,26.2,No,No
2/23/2017,MountGambier,15.3,18.6,0,NA,NA,WNW,57,SW,SW,22,24,85,80,1017.7,1020.8,8,8,16.3,17.3,No,No
2/24/2017,MountGambier,12.9,20.6,0,NA,NA,S,39,SW,SSW,15,26,67,47,1026.4,1026.2,8,6,16.1,20,No,No
2/25/2017,MountGambier,9.7,21.4,0,NA,NA,S,48,SE,SSE,26,30,66,38,1026.3,1024.7,5,NA,16.4,20.2,No,No
2/26/2017,MountGambier,10.4,28.2,0,NA,NA,SE,35,SE,SE,17,11,82,33,1021.7,1018.4,7,NA,16.5,27.3,No,No
2/27/2017,MountGambier,10.9,35.5,0,NA,NA,N,37,NNE,NNE,9,9,71,20,1020.5,1018,NA,3,20,34.9,No,No
2/28/2017,MountGambier,16.1,36.6,0,NA,NA,S,37,NNE,NE,15,7,44,16,1020.1,1018,NA,NA,24.4,34.8,No,No
3/1/2017,MountGambier,18.4,37.2,0,NA,NA,N,35,NNE,NE,17,11,40,20,1019.8,1017.3,NA,1,24.6,36,No,No
3/2/2017,MountGambier,16.3,27.1,0,NA,NA,NA,NA,S,S,22,28,86,59,1020.7,1019.9,8,NA,18.2,25.1,No,No
3/3/2017,MountGambier,12.3,26.2,0,NA,NA,NA,NA,NA,SSE,NA,28,73,49,1024,1021,1,NA,17.5,25.1,No,NA
3/4/2017,MountGambier,13.5,26.8,NA,NA,NA,NA,NA,ESE,SSW,13,24,88,57,1018.1,1015.7,8,NA,17.2,24.7,NA,No
3/5/2017,MountGambier,17.1,23.6,0,NA,NA,S,48,SSE,SSE,19,31,81,65,1017,1016.7,8,8,18.1,21,No,No
3/6/2017,MountGambier,15.3,24.7,0,NA,NA,S,44,SE,SSE,28,28,65,54,1019.1,1017,8,1,17.1,24.1,No,No
